,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores
194,2,euclidean,13,10,4,"[0.7437888198757764, 0.7443876416981552]"
195,2,euclidean,14,1,0,"[0.6038154392191659, 0.577906201378084]"
196,2,euclidean,14,1,1,"[0.6007098491570542, 0.6034674372082685]"
197,2,euclidean,14,1,2,"[0.610248447204969, 0.5730162258279617]"
198,2,euclidean,14,1,3,"[0.5896184560780834, 0.6012447210491221]"
199,2,euclidean,14,1,4,"[0.5900621118012422, 0.6119137586130251]"
200,2,euclidean,14,5,0,"[0.7160603371783496, 0.7086019115358969]"
201,2,euclidean,14,5,1,"[0.7067435669920142, 0.7212713936430318]"
202,2,euclidean,14,5,2,"[0.703416149068323, 0.7070460102244943]"
203,2,euclidean,14,5,3,"[0.6874445430346051, 0.7192709490997999]"
204,2,euclidean,14,5,4,"[0.7185004436557232, 0.6974883307401645]"
205,2,euclidean,14,10,0,"[0.7497781721384206, 0.7506112469437652]"
206,2,euclidean,14,10,1,"[0.7477817213842058, 0.7510557901755945]"
207,2,euclidean,14,10,2,"[0.7519964507542147, 0.7481662591687042]"
208,2,euclidean,14,10,3,"[0.7420141969831411, 0.75083351855968]"
209,2,euclidean,14,10,4,"[0.7440106477373558, 0.7439430984663259]"
210,2,euclidean,15,1,0,"[0.6033717834960071, 0.5799066459213158]"
211,2,euclidean,15,1,1,"[0.6035936113575865, 0.6034674372082685]"
212,2,euclidean,15,1,2,"[0.6095829636202307, 0.5745721271393643]"
213,2,euclidean,15,1,3,"[0.5916149068322981, 0.5954656590353412]"
214,2,euclidean,15,1,4,"[0.5896184560780834, 0.6081351411424761]"
215,2,euclidean,15,5,0,"[0.7167258207630879, 0.7081573683040676]"
216,2,euclidean,15,5,1,"[0.7067435669920142, 0.7214936652589464]"
217,2,euclidean,15,5,2,"[0.7038598047914818, 0.707268281840409]"
218,2,euclidean,15,5,3,"[0.6834516415261757, 0.7137141587019338]"
219,2,euclidean,15,5,4,"[0.7185004436557232, 0.6972660591242499]"
220,2,euclidean,15,10,0,"[0.7497781721384206, 0.7506112469437652]"
221,2,euclidean,15,10,1,"[0.7477817213842058, 0.7510557901755945]"
222,2,euclidean,15,10,2,"[0.7519964507542147, 0.7481662591687042]"
223,2,euclidean,15,10,3,"[0.7422360248447205, 0.75083351855968]"
224,2,euclidean,15,10,4,"[0.7440106477373558, 0.7437208268504112]"
225,2,manhattan,1,1,0,"[0.5942768411712511, 0.6285841298066237]"
226,2,manhattan,1,1,1,"[0.5665483584738243, 0.5696821515892421]"
227,2,manhattan,1,1,2,"[0.5774179236912156, 0.5487886196932652]"
228,2,manhattan,1,1,3,"[0.5949423247559894, 0.5536785952433875]"
229,2,manhattan,1,1,4,"[0.751109139307897, 0.55523449655479]"
230,2,manhattan,1,5,0,"[0.7333629103815439, 0.7246054678817515]"
231,2,manhattan,1,5,1,"[0.7187222715173026, 0.7163814180929096]"
232,2,manhattan,1,5,2,"[0.7182786157941438, 0.6890420093354078]"
233,2,manhattan,1,5,3,"[0.7262644188110027, 0.7294954434318738]"
234,2,manhattan,1,5,4,"[0.751109139307897, 0.679484329851078]"
235,2,manhattan,1,10,0,"[0.751109139307897, 0.7523894198710824]"
236,2,manhattan,1,10,1,"[0.7482253771073647, 0.7441653700822405]"
237,2,manhattan,1,10,2,"[0.7287045252883763, 0.7523894198710824]"
238,2,manhattan,1,10,3,"[0.7386867790594499, 0.7497221604801066]"
239,2,manhattan,1,10,4,"[0.751109139307897, 0.7266059124249833]"
240,2,manhattan,2,1,0,"[0.5725377107364685, 0.5714603245165593]"
241,2,manhattan,2,1,1,"[0.5962732919254659, 0.6012447210491221]"
242,2,manhattan,2,1,2,"[0.5791925465838509, 0.5661258057346077]"
243,2,manhattan,2,1,3,"[0.5951641526175687, 0.5879084240942432]"
244,2,manhattan,2,1,4,"[0.5918367346938775, 0.5550122249388753]"
245,2,manhattan,2,5,0,"[0.7158385093167702, 0.7030451211380306]"
246,2,manhattan,2,5,1,"[0.6996450754214729, 0.7334963325183375]"
247,2,manhattan,2,5,2,"[0.7198314108251996, 0.7079350966881529]"
248,2,manhattan,2,5,3,"[0.7100709849157054, 0.7359413202933985]"
249,2,manhattan,2,5,4,"[0.7369121561668146, 0.695932429428762]"
250,2,manhattan,2,10,0,"[0.7491126885536823, 0.7452767281618138]"
