,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores,Relative error
3,2,euclidean,1,1,3,"[0.5949423247559894, 0.5536785952433875]",0.074526503041829
228,2,manhattan,1,1,3,"[0.5949423247559894, 0.5536785952433875]",0.074526503041829
64,2,euclidean,5,1,4,"[0.5827417923691216, 0.5841298066236942]",0.002376208573562
289,2,manhattan,5,1,4,"[0.5827417923691216, 0.5841298066236942]",0.002376208573562
274,2,manhattan,4,1,4,"[0.5831854480922803, 0.5807957323849744]",0.004114554522453
49,2,euclidean,4,1,4,"[0.5831854480922803, 0.5807957323849744]",0.004114554522453
334,2,manhattan,8,1,4,"[0.5956078083407276, 0.5907979551011335]",0.008141282816002
109,2,euclidean,8,1,4,"[0.5956078083407276, 0.5907979551011335]",0.008141282816002
94,2,euclidean,7,1,4,"[0.5980479148181012, 0.5912424983329628]",0.011510364197984
319,2,manhattan,7,1,4,"[0.5980479148181012, 0.5912424983329628]",0.011510364197984
349,2,manhattan,9,1,4,"[0.5953859804791481, 0.5881306957101579]",0.012336177693004
124,2,euclidean,9,1,4,"[0.5953859804791481, 0.5881306957101579]",0.012336177693004
79,2,euclidean,6,1,4,"[0.584072759538598, 0.5916870415647921]",0.012868765903774
304,2,manhattan,6,1,4,"[0.584072759538598, 0.5916870415647921]",0.012868765903774
259,2,manhattan,3,1,4,"[0.589396628216504, 0.5796843743054012]",0.0167543828014
34,2,euclidean,3,1,4,"[0.589396628216504, 0.5796843743054012]",0.0167543828014
394,2,manhattan,12,1,4,"[0.5871783496007098, 0.6005779062013781]",0.022311104791416
169,2,euclidean,12,1,4,"[0.5871783496007098, 0.6005779062013781]",0.022311104791416
364,2,manhattan,10,1,4,"[0.5882874889086069, 0.6023560791286953]",0.023355936310029
139,2,euclidean,10,1,4,"[0.5882874889086069, 0.6023560791286953]",0.023355936310029
379,2,manhattan,11,1,4,"[0.5849600709849158, 0.6003556345854635]",0.025644072802245
154,2,euclidean,11,1,4,"[0.5849600709849158, 0.6003556345854635]",0.025644072802245
439,2,manhattan,15,1,4,"[0.5896184560780834, 0.6081351411424761]",0.030448306324818
214,2,euclidean,15,1,4,"[0.5896184560780834, 0.6081351411424761]",0.030448306324818
409,2,manhattan,13,1,4,"[0.5896184560780834, 0.6083574127583907]",0.030802545160651
184,2,euclidean,13,1,4,"[0.5896184560780834, 0.6083574127583907]",0.030802545160651
199,2,euclidean,14,1,4,"[0.5900621118012422, 0.6119137586130251]",0.035710337452311
424,2,manhattan,14,1,4,"[0.5900621118012422, 0.6119137586130251]",0.035710337452311
244,2,manhattan,2,1,4,"[0.5918367346938775, 0.5550122249388753]",0.066349006562978
19,2,euclidean,2,1,4,"[0.5918367346938775, 0.5550122249388753]",0.066349006562978
4,2,euclidean,1,1,4,"[0.751109139307897, 0.55523449655479]",0.352778229682237
229,2,manhattan,1,1,4,"[0.751109139307897, 0.55523449655479]",0.352778229682237
140,2,euclidean,10,5,0,"[0.7020851818988465, 0.7034896643698599]",0.001996450754215
365,2,manhattan,10,5,0,"[0.7018633540372671, 0.7039342076016892]",0.002941828287444
380,2,manhattan,11,5,0,"[0.7167258207630879, 0.7106023560791287]",0.008617287335981
155,2,euclidean,11,5,0,"[0.7169476486246673, 0.7103800844632141]",0.009245141164699
410,2,manhattan,13,5,0,"[0.7158385093167702, 0.7092687263836408]",0.009262755692933
185,2,euclidean,13,5,0,"[0.7160603371783496, 0.7090464547677262]",0.009891992779121
425,2,manhattan,14,5,0,"[0.7158385093167702, 0.7086019115358969]",0.010212501071565
200,2,euclidean,14,5,0,"[0.7160603371783496, 0.7086019115358969]",0.01052555111838
395,2,manhattan,12,5,0,"[0.7165039929015085, 0.7081573683040676]",0.011786398011264
440,2,manhattan,15,5,0,"[0.7165039929015085, 0.7081573683040676]",0.011786398011264
5,2,euclidean,1,5,0,"[0.7333629103815439, 0.7246054678817515]",0.012085807916125
230,2,manhattan,1,5,0,"[0.7333629103815439, 0.7246054678817515]",0.012085807916125
215,2,euclidean,15,5,0,"[0.7167258207630879, 0.7081573683040676]",0.012099644574116
170,2,euclidean,12,5,0,"[0.7167258207630879, 0.7079350966881529]",0.01241741526315
20,2,euclidean,2,5,0,"[0.7158385093167702, 0.7041564792176039]",0.016590105244997
350,2,manhattan,9,5,0,"[0.7160603371783496, 0.7032673927539453]",0.018190725968835
245,2,manhattan,2,5,0,"[0.7158385093167702, 0.7030451211380306]",0.018197108256766
125,2,euclidean,9,5,0,"[0.716282165039929, 0.702822849522116]",0.019150367019178
335,2,manhattan,8,5,0,"[0.7196095829636202, 0.7030451211380306]",0.023561022369057
110,2,euclidean,8,5,0,"[0.7196095829636202, 0.7026005779062013]",0.024208640858376
320,2,manhattan,7,5,0,"[0.7193877551020408, 0.6970437875083352]",0.032055328508955
95,2,euclidean,7,5,0,"[0.7193877551020408, 0.6965992442765059]",0.032713947097665
290,2,manhattan,5,5,0,"[0.7255989352262644, 0.7017114914425427]",0.034041688179589
65,2,euclidean,5,5,0,"[0.7255989352262644, 0.7017114914425427]",0.034041688179589
80,2,euclidean,6,5,0,"[0.7264862466725821, 0.7012669482107134]",0.03596247980347
305,2,manhattan,6,5,0,"[0.7264862466725821, 0.7012669482107134]",0.03596247980347
35,2,euclidean,3,5,0,"[0.7233806566104702, 0.6923760835741276]",0.044779959579617
260,2,manhattan,3,5,0,"[0.7233806566104702, 0.6923760835741276]",0.044779959579617
275,2,manhattan,4,5,0,"[0.7255989352262644, 0.6934874416537008]",0.046304362045822
50,2,euclidean,4,5,0,"[0.7255989352262644, 0.6934874416537008]",0.046304362045822
51,2,euclidean,4,5,1,"[0.7202750665483585, 0.7181595910202268]",0.002945690003425
66,2,euclidean,5,5,1,"[0.7198314108251996, 0.7177150477883975]",0.002948751100208
81,2,euclidean,6,5,1,"[0.7198314108251996, 0.7177150477883975]",0.002948751100208
276,2,manhattan,4,5,1,"[0.7202750665483585, 0.717937319404312]",0.003256199504974
291,2,manhattan,5,5,1,"[0.7198314108251996, 0.7174927761724827]",0.003259453935122
306,2,manhattan,6,5,1,"[0.7198314108251996, 0.7174927761724827]",0.003259453935122
231,2,manhattan,1,5,1,"[0.7187222715173026, 0.7163814180929096]",0.003267607681149
6,2,euclidean,1,5,1,"[0.7187222715173026, 0.7163814180929096]",0.003267607681149
261,2,manhattan,3,5,1,"[0.712511091393079, 0.7181595910202268]",0.007865242903911
36,2,euclidean,3,5,1,"[0.712511091393079, 0.7183818626361413]",0.008172215291627
381,2,manhattan,11,5,1,"[0.718944099378882, 0.7297177150477884]",0.014764086778681
156,2,euclidean,11,5,1,"[0.718944099378882, 0.7303845298955324]",0.015663571787709
366,2,manhattan,10,5,1,"[0.7180567879325643, 0.7297177150477884]",0.015980052114345
141,2,euclidean,10,5,1,"[0.7180567879325643, 0.7303845298955324]",0.016878426990686
321,2,manhattan,7,5,1,"[0.7096273291925466, 0.7219382084907757]",0.01705253878163
96,2,euclidean,7,5,1,"[0.7096273291925466, 0.7221604801066904]",0.01735507724307
336,2,manhattan,8,5,1,"[0.7100709849157054, 0.7232718381862636]",0.018251579245311
351,2,manhattan,9,5,1,"[0.7089618456078084, 0.7226050233385197]",0.018880546481227
111,2,euclidean,8,5,1,"[0.7100709849157054, 0.7239386530340075]",0.01915586087327
426,2,manhattan,14,5,1,"[0.7067435669920142, 0.7208268504112025]",0.019537678724307
126,2,euclidean,9,5,1,"[0.7089618456078084, 0.7232718381862636]",0.01978508193315
201,2,euclidean,14,5,1,"[0.7067435669920142, 0.7212713936430318]",0.020141969831411
441,2,manhattan,15,5,1,"[0.7067435669920142, 0.7212713936430318]",0.020141969831411
216,2,euclidean,15,5,1,"[0.7067435669920142, 0.7214936652589464]",0.020443836137686
396,2,manhattan,12,5,1,"[0.7133984028393966, 0.7286063569682152]",0.020872661874788
171,2,euclidean,12,5,1,"[0.7133984028393966, 0.7292731718159591]",0.021767932223577
411,2,manhattan,13,5,1,"[0.709849157054126, 0.7301622582796177]",0.027819982469859
186,2,euclidean,13,5,1,"[0.709849157054126, 0.7308290731273617]",0.028707008033299
21,2,euclidean,2,5,1,"[0.6996450754214729, 0.7334963325183375]",0.046150547175392
246,2,manhattan,2,5,1,"[0.6996450754214729, 0.7334963325183375]",0.046150547175392
262,2,manhattan,3,5,2,"[0.7051907719609583, 0.7052678372971771]",0.000109271020375
307,2,manhattan,6,5,2,"[0.7133984028393966, 0.7130473438541898]",0.000492336151635
82,2,euclidean,6,5,2,"[0.7133984028393966, 0.7126028006223605]",0.001116473604007
37,2,euclidean,3,5,2,"[0.7056344276841171, 0.7048232940653478]",0.001150832592508
97,2,euclidean,7,5,2,"[0.7102928127772848, 0.7126028006223605]",0.003241620497503
322,2,manhattan,7,5,2,"[0.7102928127772848, 0.7130473438541898]",0.003863040933602
217,2,euclidean,15,5,2,"[0.7038598047914818, 0.707268281840409]",0.00481921377848
442,2,manhattan,15,5,2,"[0.7036379769299024, 0.707268281840409]",0.00513285411451
202,2,euclidean,14,5,2,"[0.703416149068323, 0.7070460102244943]",0.005133840094818
427,2,manhattan,14,5,2,"[0.7031943212067435, 0.7070460102244943]",0.005447579028878
142,2,euclidean,10,5,2,"[0.7102928127772848, 0.7166036897088242]",0.008806648670904
